id,Geographic Area Name,Region,"Less than $20,000!!_dialupOnly","Pct_Less than $20,000!!_dialupOnly","Less than $20,000!!_WithBroadband","Pct_Less than $20,000!!_WithBroadband","Less than $20,000WithoutInternet","Pct_Less than $20,000WithoutInternet","$20,000 to $74,999","$20,000 to $74,999!!_dialupOnly","Pct_$20,000 to $74,999!!_dialupOnly","$20,000 to $74,999!!_WithBroadband","Pct_$20,000 to $74,999!!_WithBroadband","$20,000 to $74,999WithoutInternet","Pct_$20,000 to $74,999WithoutInternet",75Kplus,75Kplus_dialupOnly,Pct_75Kplus_dialupOnly,75Kplus_WithBroadband,Pct_75Kplus_WithBroadband,75KplusWithoutInternet,Pct_75KplusWithoutInternet
0500000US41029,"Jackson County, Oregon",southwest,138,0.9,10109,62.5,5934,36.7,43846,335,0.8,36557,83.4,6954,15.9,27390,90,0.3,25852,94.4,1448,5.3
0500000US41031,"Jefferson County, Oregon",east,0,0,624,50.5,612,49.5,4307,0,0,3319,77.1,988,22.9,2349,18,0.8,2166,92.2,165,7
0500000US41033,"Josephine County, Oregon",southwest,74,0.9,4913,62,2938,37.1,19266,221,1.1,15079,78.3,3966,20.6,8787,52,0.6,8210,93.4,525,6
0500000US41035,"Klamath County, Oregon",southwest,14,0.2,3530,59.4,2396,40.3,14393,60,0.4,11233,78,3100,21.5,7069,41,0.6,6376,90.2,652,9.2
0500000US41037,"Lake County, Oregon",southwest,0,0,337,37.6,559,62.4,1827,3,0.2,1169,64,655,35.9,771,0,0,648,84,123,16
0500000US41039,"Lane County, Oregon",northwest,223,0.8,18788,64.6,10051,34.6,74810,559,0.7,61828,82.6,12423,16.6,46908,180,0.4,44412,94.7,2316,4.9
0500000US41041,"Lincoln County, Oregon",northwest,54,1.3,2405,56.9,1769,41.8,11249,80,0.7,9191,81.7,1978,17.6,5633,19,0.3,5244,93.1,370,6.6
0500000US41043,"Linn County, Oregon",northwest,65,0.8,4163,54.3,3433,44.8,24476,154,0.6,19738,80.6,4584,18.7,14893,68,0.5,13928,93.5,897,6
0500000US41045,"Malheur County, Oregon",east,10,0.4,1212,51.3,1141,48.3,5382,39,0.7,3975,73.9,1368,25.4,2393,9,0.4,1974,82.5,410,17.1
0500000US41047,"Marion County, Oregon",northwest,64,0.4,10442,61.3,6523,38.3,58475,374,0.6,48348,82.7,9753,16.7,41357,208,0.5,38461,93,2688,6.5
0500000US41049,"Morrow County, Oregon",east,0,0,337,61.1,215,38.9,2095,7,0.3,1511,72.1,577,27.5,1312,28,2.1,1138,86.7,146,11.1
0500000US41051,"Multnomah County, Oregon",northwest,155,0.3,30394,61.7,18730,38,133113,714,0.5,112595,84.6,19804,14.9,139576,253,0.2,134149,96.1,5174,3.7
0500000US41053,"Polk County, Oregon",northwest,19,0.4,3067,66.8,1504,32.8,13780,138,1,11198,81.3,2444,17.7,11322,109,1,10751,95,462,4.1
0500000US41055,"Sherman County, Oregon",east,1,0.7,71,51.1,67,48.2,401,5,1.2,291,72.6,105,26.2,196,0,0,184,93.9,12,6.1
0500000US41057,"Tillamook County, Oregon",northwest,19,1,1128,56.6,846,42.4,5782,52,0.9,4550,78.7,1180,20.4,3041,12,0.4,2805,92.2,224,7.4
0500000US41059,"Umatilla County, Oregon",east,20,0.4,2765,54.7,2272,44.9,13653,65,0.5,10698,78.4,2890,21.2,8176,7,0.1,7372,90.2,797,9.7
0500000US41061,"Union County, Oregon",east,36,1.8,1099,54.8,871,43.4,5113,46,0.9,4054,79.3,1013,19.8,3362,22,0.7,3124,92.9,216,6.4
0500000US41063,"Wallowa County, Oregon",east,2,0.3,331,52.4,299,47.3,1490,10,0.7,1081,72.6,399,26.8,1043,0,0,942,90.3,101,9.7
0500000US41065,"Wasco County, Oregon",east,43,2.9,681,46.1,754,51,5805,53,0.9,4320,74.4,1432,24.7,2983,28,0.9,2688,90.1,267,9
0500000US41067,"Washington County, Oregon",northwest,205,1,13517,69.1,5849,29.9,84579,297,0.4,71457,84.5,12825,15.2,112357,153,0.1,107843,96,4361,3.9
0500000US41069,"Wheeler County, Oregon",east,2,1.1,85,47.2,93,51.7,374,0,0,276,73.8,98,26.2,107,0,0,101,94.4,6,5.6
0500000US41071,"Yamhill County, Oregon",northwest,81,1.7,2957,61.1,1802,37.2,16932,154,0.9,13114,77.5,3664,21.6,14425,49,0.3,13521,93.7,855,5.9
